Init from 129.0: -41,Init from 145.0: -48,Init from 36.0: -44,
Init from 129.0: -41,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -41,Init from 145.0: -48,Init from 36.0: -44,
Init from 129.0: -41,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -41,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -41,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -51,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -49,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -41,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -41,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -41,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -41,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -41,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -41,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -51,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -51,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -51,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -51,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -50,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -51,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -51,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -51,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -51,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -51,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -51,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -51,Init from 36.0: -44,
Init from 129.0: -40,Init from 145.0: -51,Init from 36.0: -44,
