,129.0: -43,145.0: -39,36.0: -37,
129.0: -46,145.0: -47,36.0: -38,
129.0: -52,145.0: -40,36.0: -42,
129.0: -46,145.0: -34,36.0: -54,
129.0: -44,145.0: -34,36.0: -45,
145.0: -33,36.0: -49,
129.0: -46,129.0: -44,145.0: -44,36.0: -45,
129.0: -38,145.0: -41,36.0: -45,
129.0: -40,145.0: -40,36.0: -46,
129.0: -40,145.0: -40,36.0: -45,
129.0: -40,145.0: -40,36.0: -47,
129.0: -39,145.0: -40,36.0: -42,
129.0: -40,145.0: -40,36.0: -42,
145.0: -40,129.0: -40,36.0: -46,
129.0: -43,145.0: -37,129.0: -42,145.0: -36,36.0: -46,
,129.0: -39,145.0: -42,36.0: -46,
129.0: -40,145.0: -34,,129.0: -39,145.0: -37,36.0: -35,
129.0: -37,36.0: -36,
129.0: -39,,,129.0: -42,145.0: -41,36.0: -45,
129.0: -41,145.0: -36,36.0: -37,
129.0: -41,145.0: -39,36.0: -44,
129.0: -43,145.0: -42,36.0: -45,
129.0: -44,145.0: -42,36.0: -42,
129.0: -43,145.0: -42,36.0: -42,

